kernel_name,batch_size,channels,height,width,total_elements,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,num_measurements
"layer_norm_(6,64,256,128)",6,64,256,128,12582912,292.9751340000001,292.968572,292.985715,0.007072784427339921,10
"layer_norm_(6,64,256,256)",6,64,256,256,25165824,572.7865536,572.688571,572.945625,0.1049047147592072,10
"layer_norm_(6,64,256,384)",6,64,256,384,37748736,836.5152586,836.507053,836.522857,0.006910958418838453,10
"layer_norm_(6,64,256,512)",6,64,256,512,50331648,1097.8031429999999,1097.657143,1097.957054,0.14040247425250632,10
"layer_norm_(6,64,384,128)",6,64,384,128,18874368,471.112875,471.11,471.117143,0.0023150027597774034,10
"layer_norm_(6,64,384,256)",6,64,384,256,37748736,836.8954286000001,836.847143,837.065625,0.08760790480467101,10
"layer_norm_(6,64,384,384)",6,64,384,384,56623104,1294.5526965000001,1294.451429,1294.719911,0.12192818377428519,10
"layer_norm_(6,64,384,512)",6,64,384,512,75497472,1651.5932856,1651.488571,1651.834285,0.15345768548451735,10
"layer_norm_(6,64,512,128)",6,64,512,128,25165824,566.2121518,566.202946,566.221518,0.007361063491992804,10
"layer_norm_(6,64,512,256)",6,64,512,256,50331648,1088.6430179000001,1088.514285,1088.842947,0.12176544574484924,10
"layer_norm_(6,64,512,384)",6,64,512,384,75497472,1651.6120982,1651.502767,1651.844286,0.15364984530618722,10
"layer_norm_(6,64,512,512)",6,64,512,512,100663296,2192.3361517,2192.202857,2192.542947,0.16770043487712813,10
"layer_norm_(6,128,128,128)",6,128,128,128,12582912,179.7347321,179.732857,179.737232,0.0013816901445570706,10
"layer_norm_(6,128,128,256)",6,128,128,256,25165824,586.0058392000001,585.858482,586.095803,0.09233178246929644,10
"layer_norm_(6,128,128,384)",6,128,128,384,37748736,548.4098124,548.404196,548.414196,0.0028262278826041067,10
"layer_norm_(6,128,128,512)",6,128,128,512,50331648,1131.8882855999998,1131.854375,1132.145715,0.09050826668962472,10
"layer_norm_(6,128,256,128)",6,128,256,128,25165824,585.1843213,585.174286,585.192857,0.008392610202479344,10
"layer_norm_(6,128,256,256)",6,128,256,256,50331648,1144.432982,1144.30991,1144.602857,0.11588316704529203,10
"layer_norm_(6,128,256,384)",6,128,256,384,75497472,1672.5448840000001,1672.444375,1672.789911,0.1390186473279454,10
"layer_norm_(6,128,256,512)",6,128,256,512,100663296,2194.1880001,2194.061339,2194.395715,0.1501145715019627,10
"layer_norm_(6,128,384,128)",6,128,384,128,37748736,536.7054374,536.701428,536.708571,0.0022088101975682875,10
"layer_norm_(6,128,384,256)",6,128,384,256,75497472,1672.6075894,1672.498571,1672.868571,0.13821374855409616,10
"layer_norm_(6,128,384,384)",6,128,384,384,113246208,1643.5922945999998,1643.392947,1643.877143,0.207908294178074,10
"layer_norm_(6,128,384,512)",6,128,384,512,150994944,3301.6414465000003,3301.597143,3301.93,0.10184768815159984,10
"layer_norm_(6,128,512,128)",6,128,512,128,50331648,1131.6045894000001,1131.597232,1131.615625,0.007021989638917274,10
"layer_norm_(6,128,512,256)",6,128,512,256,100663296,2175.8695625,2175.777143,2176.175714,0.15192744349727672,10
"layer_norm_(6,128,512,384)",6,128,512,384,150994944,3301.7014372999997,3301.604196,3301.971428,0.1457905463342699,10
"layer_norm_(6,128,512,512)",6,128,512,512,201326592,4382.947169499999,4382.81,4383.201428,0.16417775722492153,10
"layer_norm_(6,256,128,128)",6,256,128,128,25165824,391.43984820000003,391.427143,391.451429,0.009319658288928653,10
"layer_norm_(6,256,128,256)",6,256,128,256,50331648,1171.2684464,1170.842857,1171.812857,0.28996738359112684,10
"layer_norm_(6,256,128,384)",6,256,128,384,75497472,1117.3077140999999,1117.15,1117.54991,0.16736303190397692,10
"layer_norm_(6,256,128,512)",6,256,128,512,100663296,2262.6914285000003,2262.635803,2262.924286,0.10375634869919563,10
"layer_norm_(6,256,256,128)",6,256,256,128,50331648,1169.5918481,1169.585804,1169.602857,0.007319826173568332,10
"layer_norm_(6,256,256,256)",6,256,256,256,100663296,2287.5679645,2287.518572,2287.752768,0.08915248135656674,10
"layer_norm_(6,256,256,384)",6,256,256,384,150994944,3343.8545803,3343.764285,3344.027143,0.1148657213754821,10
"layer_norm_(6,256,256,512)",6,256,256,512,201326592,4386.9622679,4386.895714,4387.2,0.10811262748057221,10
"layer_norm_(6,256,384,128)",6,256,384,128,75497472,1086.4486963,1086.314196,1086.652946,0.1438038160690085,10
"layer_norm_(6,256,384,256)",6,256,384,256,150994944,3343.8508662,3343.824286,3344.055714,0.07202094750344563,10
"layer_norm_(6,256,384,384)",6,256,384,384,226492416,3348.8799644000005,3348.74134,3349.068572,0.14142706486012552,10
"layer_norm_(6,256,384,512)",6,256,384,512,301989888,6601.8441517,6601.784375,6602.091429,0.11645014946698316,10
"layer_norm_(6,256,512,128)",6,256,512,128,100663296,2262.7078481,2262.631428,2262.882857,0.10467461016090521,10
