kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count
matmul_80x128x80,80,128,80,1.2407902,1.128571,1.390089,0.07756958083152794,20
matmul_80x128x96,80,128,96,1.168433,1.111428,1.387143,0.07266156526629032,20
matmul_80x32x112,80,32,112,1.07976335,1.031429,1.292768,0.08402545995318762,20
matmul_80x32x128,80,32,128,1.07427665,1.031428,1.185714,0.04062340487980969,20
matmul_80x32x32,80,32,32,1.1477232499999999,1.110089,1.290089,0.04010124584476937,20
matmul_80x32x48,80,32,48,1.0478706,1.022946,1.194286,0.0541579969411137,20
matmul_80x32x64,80,32,64,1.0438571,1.028572,1.214286,0.04386521322354844,20
matmul_80x32x80,80,32,80,1.072933,1.022857,1.262857,0.06240344635641441,20
matmul_80x32x96,80,32,96,1.071701,1.031339,1.248572,0.056117964253882206,20
matmul_80x48x112,80,48,112,1.0914063,1.051428,1.257143,0.04604369395659321,20
matmul_80x48x128,80,48,128,1.1146607,1.051429,1.255803,0.06920012158956461,20
matmul_80x48x32,80,48,32,1.1667232,1.141518,1.241428,0.0183507060687335,20
matmul_80x48x48,80,48,48,1.22278565,1.145715,1.398482,0.08699261294608206,20
matmul_80x48x64,80,48,64,1.07729035,1.031428,1.255625,0.05581636822773593,20
matmul_80x48x80,80,48,80,1.08220985,1.044286,1.252768,0.04175758170336448,20
matmul_80x48x96,80,48,96,1.10005805,1.057054,1.291429,0.057731861166380294,20
matmul_80x64x112,80,64,112,1.1314731,1.075714,1.351339,0.0768434927100806,20
matmul_80x64x128,80,64,128,1.10970105,1.091339,1.275714,0.0420146368010445,20
matmul_80x64x32,80,64,32,1.2035046,1.178571,1.314286,0.04378790244300238,20
matmul_80x64x48,80,64,48,1.19856235,1.182946,1.351518,0.038323898369548394,20
matmul_80x64x64,80,64,64,1.23911605,1.168482,1.434286,0.09130062614962266,20
matmul_80x64x80,80,64,80,1.1071292,1.077143,1.18,0.023749942009015052,20
matmul_80x64x96,80,64,96,1.11986165,1.077143,1.281429,0.053434533138347506,20
matmul_80x80x112,80,80,112,1.23770535,1.12991,1.44,0.09476701045210272,20
matmul_80x80x128,80,80,128,1.24999105,1.191429,1.437143,0.08639951519690678,20
matmul_80x80x32,80,80,32,1.2599865,1.202768,1.407143,0.07517024449558692,20
matmul_80x80x48,80,80,48,1.2346830500000001,1.188571,1.425714,0.06037743820725627,20
matmul_80x80x64,80,80,64,1.24566515,1.194286,1.394286,0.05029971740035186,20
matmul_80x80x80,80,80,80,1.23064275,1.122946,1.428661,0.09138562418781943,20
matmul_80x80x96,80,80,96,1.20845095,1.125714,1.410089,0.06137988378894779,20
matmul_80x96x112,80,96,112,1.1445624,1.102857,1.231429,0.030443067494310735,20
matmul_80x96x128,80,96,128,1.1734913,1.135625,1.332858,0.06729394484381271,20
matmul_80x96x32,80,96,32,1.2247857500000001,1.184286,1.377143,0.05357336524202363,20
matmul_80x96x48,80,96,48,1.2415715,1.188482,1.468571,0.07743365343889397,20
matmul_80x96x64,80,96,64,1.2464999,1.215714,1.41,0.06105979378824625,20
matmul_80x96x80,80,96,80,1.2362142999999999,1.188572,1.46,0.07792214282427244,20
matmul_80x96x96,80,96,96,1.1577054,1.100089,1.342857,0.056709158067978285,20
